analysis,scope,n_events,E_mwh,n_turbines,n_blocks,point_pct,ci_lo_pct,ci_hi_pct,boot_mean_pct,boot_sd_pp,reps,seed,n_finite_reps,note
bootstrap_turbine_year_block,all,4213,9386.501584975991,20.0,170.0,7.528169493855308,2.063604095683635,16.147177387207194,7.537142474128097,3.7484774064984787,10000.0,20260907.0,10000.0,"outer: 20 turbines with replacement; inner: that turbine's turbine-year blocks with replacement, all events in a drawn block kept together; percentile 95% CI"
bootstrap_unstratified_quoted,all,4213,9386.501584975991,20.0,,7.5281694938553,1.9465420331056498,16.717062541110888,7.51687387351906,3.88035859209911,10000.0,20260827.0,10000.0,"QUOTED verbatim from bootstrap.csv, not recomputed"
bootstrap_farm_stratified_quoted,all,4213,9386.501584975991,20.0,,7.528169493855308,1.9786138306990024,16.388058987147996,7.580490535800462,3.8188801359008897,10000.0,20260904.0,10000.0,"QUOTED verbatim from cluster_robustness.csv, not recomputed"
block_structure,turbine_year_blocks,4213,9386.501584975991,20.0,170.0,,,,,,,,,events per block min 2 / median 18 / mean 24.78 / max 183; blocks per turbine min 8 / median 8 / max 9; MWh per block median 24.69 / max 706.5
block_detail,kelmarsh_WT01_2016,14,23.208719865364994,,,,,,,,,,,1 actionable events / 19.0 MWh actionable
block_detail,kelmarsh_WT01_2017,23,36.41753181257884,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,kelmarsh_WT01_2018,9,2.503932802817027,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
block_detail,kelmarsh_WT01_2019,11,2.6268619534924564,,,,,,,,,,,1 actionable events / 0.3 MWh actionable
block_detail,kelmarsh_WT01_2020,20,21.677606115855582,,,,,,,,,,,2 actionable events / 0.1 MWh actionable
block_detail,kelmarsh_WT01_2021,24,58.420497752000635,,,,,,,,,,,5 actionable events / 0.0 MWh actionable
block_detail,kelmarsh_WT01_2022,83,12.009750162624808,,,,,,,,,,,50 actionable events / 0.1 MWh actionable
block_detail,kelmarsh_WT01_2023,6,1.0117301686169928,,,,,,,,,,,1 actionable events / 0.3 MWh actionable
block_detail,kelmarsh_WT01_2024,19,8.416034175416456,,,,,,,,,,,0 actionable events / 0.0 MWh actionable
