statistic,point,ci_lo,ci_hi,boot_mean,boot_sd,n_finite_reps,tier,rule,lookback_h,T_act_h,control_offset_d,reps,seed,n_turbines,n_events
E_unwarned,0.8377688963408324,0.7291157260419806,0.9241419209171642,0.8371280491772716,0.050279102478247406,10000,T2,same,72,6,45,10000,20260827,20,4213
E_short_lead,0.08694940872061467,0.027754028179843713,0.16781346771264166,0.08770321208753776,0.03677429334716231,10000,T2,same,72,6,45,10000,20260827,20,4213
E_actionable,0.07528169493855308,0.019465420331056596,0.16717062541110897,0.07516873873519067,0.03880358592099112,10000,T2,same,72,6,45,10000,20260827,20,4213
E_warned,0.16223110365916776,0.07585807908283598,0.2708842739580194,0.16287195082272843,0.05027910247824741,10000,T2,same,72,6,45,10000,20260827,20,4213
N_unwarned,0.7676240208877284,0.6894228256575592,0.852441769448142,0.7698969773112924,0.04148068817332075,10000,T2,same,72,6,45,10000,20260827,20,4213
N_short_lead,0.06669831474009019,0.0500400622826292,0.08473879698988891,0.06670410875256665,0.008845607569668712,10000,T2,same,72,6,45,10000,20260827,20,4213
N_actionable,0.16567766437218134,0.08784427696908029,0.2387388687463728,0.16339891393614103,0.03851758439727458,10000,T2,same,72,6,45,10000,20260827,20,4213
N_warned,0.23237597911227154,0.14755823055185802,0.3105771743424409,0.23010302268870764,0.04148068817332075,10000,T2,same,72,6,45,10000,20260827,20,4213
E_control_warned,0.008649271393744938,0.0003048435045697428,0.028095365830959278,0.008887747932183148,0.007713224892729469,10000,T2,same,72,6,45,10000,20260827,20,4213
N_control_warned,0.007416267942583732,0.002707559019585548,0.013576001356129217,0.0075083975057107935,0.0028097630629885604,10000,T2,same,72,6,45,10000,20260827,20,4213
E_excess_warned,0.15492179289699448,0.06650685320334608,0.2655462445638124,0.15530598053852968,0.0512649205950451,10000,T2,same,72,6,45,10000,20260827,20,4213
E_excess_actionable,0.06732863162673713,0.00745493557048786,0.16140519903927783,0.06691468018738256,0.04019722486309529,10000,T2,same,72,6,45,10000,20260827,20,4213
N_excess_warned,0.22664053812708967,0.14020731397552325,0.3064952527894407,0.22423587168913417,0.04251873413594954,10000,T2,same,72,6,45,10000,20260827,20,4213
N_excess_actionable,0.15984886462917805,0.07943157004544846,0.23454229671126756,0.1574390051651269,0.0395953713456995,10000,T2,same,72,6,45,10000,20260827,20,4213
E_enrichment_x,18.75662079195383,4.582261801505206,541.2072349302687,122.73039303823245,927.5396662449783,9988,T2,same,72,6,45,10000,20260827,20,4213
N_enrichment_x,31.333277183525645,13.482560684265096,97.72666703442188,37.36898002147143,24.96336755587472,10000,T2,same,72,6,45,10000,20260827,20,4213
recoverable_mwh_median,666.4309923935815,149.02681621257824,1577.2606996703057,663.3567630254108,371.251053242078,10000,T2,same,72,6,45,10000,20260827,20,4213
recoverable_mwh_p75,639.2288003851877,133.69419528019588,1538.4808675524725,636.2325789862053,366.0035740216079,10000,T2,same,72,6,45,10000,20260827,20,4213
recoverable_pct_of_tier_E,7.0998868573172045,1.6538271393238586,16.21155480548081,7.0841997545080115,3.8325741176765136,10000,T2,same,72,6,45,10000,20260827,20,4213
E_total_mwh,9386.501584975991,6730.385662798183,12649.510694430639,9398.039808507048,1516.9763787835234,10000,T2,same,72,6,45,10000,20260827,20,4213
n_events,4213.0,3442.975,5032.025,4214.7404,407.2815459035719,10000,T2,same,72,6,45,10000,20260827,20,4213
E_unwarned,0.529025299394259,0.38161798761391125,0.6796119567551664,0.531290669838516,0.07668705208721555,10000,T2,any,72,6,45,10000,20260827,20,4213
E_short_lead,0.12766036752556773,0.0693610633574094,0.20904631162029416,0.1295174544026273,0.0362638276865746,10000,T2,any,72,6,45,10000,20260827,20,4213
E_actionable,0.34331433308017334,0.18598124503380453,0.516056063607926,0.33919187575885673,0.0855542450476882,10000,T2,any,72,6,45,10000,20260827,20,4213
E_warned,0.47097470060574115,0.32038804324483355,0.6183820123860888,0.46870933016148403,0.07668705208721555,10000,T2,any,72,6,45,10000,20260827,20,4213
N_unwarned,0.37051981960598146,0.31202458790963944,0.43499963096660843,0.3714044534817004,0.031397223820389855,10000,T2,any,72,6,45,10000,20260827,20,4213
N_short_lead,0.1967718965107999,0.17169885182516595,0.22625037668694983,0.19771361092541992,0.014219326846167004,10000,T2,any,72,6,45,10000,20260827,20,4213
N_actionable,0.43270828388321864,0.35251712454094175,0.5011966277568075,0.43088193559287963,0.037695869363399616,10000,T2,any,72,6,45,10000,20260827,20,4213
N_warned,0.6294801803940185,0.5650003690333916,0.6879754120903605,0.6285955465182995,0.03139722382038985,10000,T2,any,72,6,45,10000,20260827,20,4213
E_control_warned,0.16521840958821304,0.09135496554382772,0.2568442641616192,0.1665104499899747,0.04280660718654343,10000,T2,any,72,6,45,10000,20260827,20,4213
N_control_warned,0.18516746411483254,0.15011969204477268,0.22319565246180864,0.18563731933138844,0.01882901968535275,10000,T2,any,72,6,45,10000,20260827,20,4213
E_excess_warned,0.3662710037324882,0.16569741627969303,0.5574721990027142,0.3603506032878608,0.10091738234140397,10000,T2,any,72,6,45,10000,20260827,20,4213
E_excess_actionable,0.21496305816673686,-0.014830889780983552,0.4405945134663964,0.20583125542428074,0.11695842233985347,10000,T2,any,72,6,45,10000,20260827,20,4213
N_excess_warned,0.5452810199785665,0.4640579368353645,0.6164229135331037,0.5437747413087842,0.03898562317353783,10000,T2,any,72,6,45,10000,20260827,20,4213
N_excess_actionable,0.3142627607379566,0.21742264424364557,0.3984737600577529,0.3115686462310067,0.046692381637868874,10000,T2,any,72,6,45,10000,20260827,20,4213
E_enrichment_x,2.8506187765612125,1.5590849013134225,5.532051206211813,3.029233029124667,1.0334284881754274,10000,T2,any,72,6,45,10000,20260827,20,4213
N_enrichment_x,3.399518286882426,2.7697871419250526,4.2588301096971035,3.4201264481734013,0.38064351591762374,10000,T2,any,72,6,45,10000,20260827,20,4213
recoverable_mwh_median,2872.9613724898,1211.7281600554422,5545.555246779785,2885.892481873917,1131.1078581063057,10000,T2,any,72,6,45,10000,20260827,20,4213
recoverable_mwh_p75,2698.3129131898295,1069.4813482533052,5344.606983815324,2711.14869270607,1113.2786053651907,10000,T2,any,72,6,45,10000,20260827,20,4213
recoverable_pct_of_tier_E,30.60737109007955,14.892332927360265,48.15659049077321,30.116855957787678,8.601068454587427,10000,T2,any,72,6,45,10000,20260827,20,4213
E_total_mwh,9386.501584975991,6730.385662798183,12649.510694430639,9398.039808507048,1516.9763787835234,10000,T2,any,72,6,45,10000,20260827,20,4213
n_events,4213.0,3442.975,5032.025,4214.7404,407.2815459035719,10000,T2,any,72,6,45,10000,20260827,20,4213
E_unwarned,0.8741476121775651,0.7929780811676825,0.9388613611972303,0.8740610340397319,0.037969554955155214,10000,T0,same,72,6,45,10000,20260827,20,6050
E_short_lead,0.0674518662600482,0.022120258004194367,0.1319688767816377,0.06758310766078535,0.02800500487290593,10000,T0,same,72,6,45,10000,20260827,20,6050
E_actionable,0.05840052156238669,0.01591148450503649,0.1292207950475173,0.05835585829948273,0.030147754900281275,10000,T0,same,72,6,45,10000,20260827,20,6050
E_warned,0.12585238782243488,0.06113863880276972,0.2070219188323174,0.12593896596026807,0.037969554955155214,10000,T0,same,72,6,45,10000,20260827,20,6050
N_unwarned,0.8381818181818181,0.7732047002237361,0.9006493841413932,0.8391984172141641,0.03277670062320826,10000,T0,same,72,6,45,10000,20260827,20,6050
N_short_lead,0.04644628099173554,0.03344634666643821,0.0603613486082595,0.04648959892125082,0.006859101003158716,10000,T0,same,72,6,45,10000,20260827,20,6050
N_actionable,0.11537190082644629,0.058343985005502565,0.17445955797161708,0.11431198386458506,0.029515731957571727,10000,T0,same,72,6,45,10000,20260827,20,6050
N_warned,0.1618181818181818,0.09935061585860686,0.22679529977626384,0.1608015827858359,0.03277670062320826,10000,T0,same,72,6,45,10000,20260827,20,6050
E_control_warned,0.006666384401537231,0.0002584973284113212,0.02098837489622396,0.006682774811900779,0.005735106318876992,10000,T0,same,72,6,45,10000,20260827,20,6050
N_control_warned,0.00515378221113882,0.0018644759348830505,0.00945905316875624,0.005170943577551094,0.0019533695554572995,10000,T0,same,72,6,45,10000,20260827,20,6050
E_excess_warned,0.11998587538899563,0.05344479054594654,0.2029492386768435,0.12001455624304072,0.038883481223237405,10000,T0,same,72,6,45,10000,20260827,20,6050
E_excess_actionable,0.052171116635115866,0.006509518426203312,0.12517340460864157,0.05206359392609644,0.031284272163504795,10000,T0,same,72,6,45,10000,20260827,20,6050
N_excess_warned,0.15747599659698588,0.0937676838287859,0.2237684002720821,0.1564247911333068,0.03328012520460914,10000,T0,same,72,6,45,10000,20260827,20,6050
N_excess_actionable,0.11108619837472009,0.05279060001580242,0.17117752936264508,0.10999256512496482,0.030061517121007204,10000,T0,same,72,6,45,10000,20260827,20,6050
E_enrichment_x,18.87865749137029,4.697379649956703,489.1525559608326,111.92964364572703,754.6677546376405,9982,T0,same,72,6,45,10000,20260827,20,6050
N_enrichment_x,31.397947214076243,13.531789344803954,97.68365667247484,37.809799329755435,28.04107508510733,10000,T0,same,72,6,45,10000,20260827,20,6050
recoverable_mwh_median,666.4309923935815,154.31221993192588,1523.1145111437925,664.134408242411,365.3176306969395,10000,T0,same,72,6,45,10000,20260827,20,6050
recoverable_mwh_p75,639.2288003851877,137.91601820065392,1487.1088793344888,636.9621540026111,360.33074991479134,10000,T0,same,72,6,45,10000,20260827,20,6050
recoverable_pct_of_tier_E,5.507807652839074,1.3284745163344278,12.481062536499264,5.50015871329607,2.9776927616888504,10000,T0,same,72,6,45,10000,20260827,20,6050
E_total_mwh,12099.750652150327,8964.431066617764,15955.548368661208,12129.482315317146,1778.162655448223,10000,T0,same,72,6,45,10000,20260827,20,6050
n_events,6050.0,5078.975,7072.025,6059.7542,509.25419621834885,10000,T0,same,72,6,45,10000,20260827,20,6050
E_unwarned,0.8699386778328266,0.7837549601028266,0.9368715160963627,0.8699706757571738,0.03922302691871018,10000,T1,same,72,6,45,10000,20260827,20,4610
E_short_lead,0.06970768739646702,0.023359792256881527,0.1338556228889278,0.06983121068269049,0.028545752783477586,10000,T1,same,72,6,45,10000,20260827,20,4610
E_actionable,0.0603536347707064,0.015911450786423597,0.1329957138539649,0.06019811356013572,0.030817552193785284,10000,T1,same,72,6,45,10000,20260827,20,4610
E_warned,0.1300613221671734,0.06312848390363741,0.21624503989717314,0.1300293242428262,0.03922302691871018,10000,T1,same,72,6,45,10000,20260827,20,4610
N_unwarned,0.7876355748373102,0.7118140950461878,0.8636259402696644,0.7890205928592757,0.038809837232656026,10000,T1,same,72,6,45,10000,20260827,20,4610
N_short_lead,0.06095444685466377,0.04547778081693337,0.0776239333050743,0.060860982625209656,0.008164054992768684,10000,T1,same,72,6,45,10000,20260827,20,4610
N_actionable,0.15140997830802602,0.08189555875883733,0.22141802302676614,0.15011842451551455,0.035913806055435295,10000,T1,same,72,6,45,10000,20260827,20,4610
N_warned,0.2123644251626898,0.13637405973033553,0.28818590495381224,0.21097940714072425,0.038809837232656026,10000,T1,same,72,6,45,10000,20260827,20,4610
E_control_warned,0.006894487493553322,0.0002648547962063688,0.021910805542296127,0.006966258308587692,0.005957684212532551,10000,T1,same,72,6,45,10000,20260827,20,4610
N_control_warned,0.006772995411841818,0.002402910885018394,0.012503374904582856,0.0068274670926274554,0.002598494219392547,10000,T1,same,72,6,45,10000,20260827,20,4610
E_excess_warned,0.1240219021267597,0.05457145123949043,0.21114237248448287,0.12387657642011275,0.04023723163834356,10000,T1,same,72,6,45,10000,20260827,20,4610
E_excess_actionable,0.05392298660132405,0.00616852177877831,0.12854459421340972,0.05364404764219358,0.03201918086523689,10000,T1,same,72,6,45,10000,20260827,20,4610
N_excess_warned,0.20699339506591097,0.12935938815936732,0.2848767457452125,0.20552144072760894,0.03969854395671418,10000,T1,same,72,6,45,10000,20260827,20,4610
N_excess_actionable,0.14599900411517924,0.07441045598873632,0.21727259392186113,0.14461789040753323,0.036847891182024355,10000,T1,same,72,6,45,10000,20260827,20,4610
