event_id,farm,turbine,start,duration_h,lost_energy_mwh,planned_charge_mwh_p50,planned_charge_mwh_p75,recoverable_mwh_p50,recoverable_mwh_p75,clipped_p50,clipped_p75,zero_energy
3,kelmarsh,K01,2016-04-25 16:24:06,24.137778,19.04927,0.62416,1.600031,18.425111,17.449239,False,False,False
57,kelmarsh,K01,2019-03-15 12:13:36,0.261111,0.341007,1.620066,4.153035,0.0,0.0,True,True,False
77,kelmarsh,K01,2020-05-25 15:29:33,0.021111,0.13351,0.634285,1.625988,0.0,0.0,True,True,False
78,kelmarsh,K01,2020-08-22 09:01:05,0.096111,0.0,0.0,0.0,0.0,0.0,False,False,True
107,kelmarsh,K01,2021-12-19 10:30:20,0.053889,0.0,0.0,0.0,0.0,0.0,False,False,True
108,kelmarsh,K01,2021-12-19 10:35:06,0.108333,0.014987,0.082874,0.212448,0.0,0.0,True,True,False
109,kelmarsh,K01,2021-12-19 10:50:24,1.110556,0.0,0.0,0.0,0.0,0.0,False,False,True
110,kelmarsh,K01,2021-12-22 02:11:11,0.072222,0.0,0.0,0.0,0.0,0.0,False,False,True
111,kelmarsh,K01,2021-12-22 02:41:35,0.0325,0.0,0.0,0.0,0.0,0.0,False,False,True
120,kelmarsh,K01,2022-02-04 21:51:39,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
132,kelmarsh,K01,2022-03-23 10:15:50,0.077222,0.0,0.0,0.0,0.0,0.0,False,False,True
133,kelmarsh,K01,2022-03-23 16:52:52,0.055833,0.0,0.0,0.0,0.0,0.0,False,False,True
134,kelmarsh,K01,2022-03-24 00:05:21,0.467222,0.0,0.0,0.0,0.0,0.0,False,False,True
135,kelmarsh,K01,2022-03-24 01:40:00,0.049167,0.0,0.0,0.0,0.0,0.0,False,False,True
136,kelmarsh,K01,2022-03-24 02:45:01,0.040278,0.0,0.0,0.0,0.0,0.0,False,False,True
137,kelmarsh,K01,2022-03-24 03:48:23,0.471667,0.0,0.0,0.0,0.0,0.0,False,False,True
138,kelmarsh,K01,2022-03-24 04:19:59,0.019167,0.0,0.0,0.0,0.0,0.0,False,False,True
139,kelmarsh,K01,2022-03-24 05:22:31,0.030833,0.0,0.0,0.0,0.0,0.0,False,False,True
140,kelmarsh,K01,2022-03-24 06:25:38,0.025278,0.0,0.0,0.0,0.0,0.0,False,False,True
141,kelmarsh,K01,2022-03-24 07:29:17,0.239167,0.0,0.0,0.0,0.0,0.0,False,False,True
142,kelmarsh,K01,2022-03-24 08:33:54,0.058611,0.0,0.0,0.0,0.0,0.0,False,False,True
143,kelmarsh,K01,2022-03-24 09:39:41,0.530278,0.0,0.0,0.0,0.0,0.0,False,False,True
144,kelmarsh,K01,2022-03-24 12:40:47,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
145,kelmarsh,K01,2022-03-25 02:09:44,0.209444,0.000854,0.002028,0.005198,0.0,0.0,True,True,False
146,kelmarsh,K01,2022-03-25 03:18:40,0.025278,0.0,0.0,0.0,0.0,0.0,False,False,True
147,kelmarsh,K01,2022-03-25 05:23:57,0.083056,0.0,0.0,0.0,0.0,0.0,False,False,True
148,kelmarsh,K01,2022-03-25 07:33:19,0.045833,0.0,0.0,0.0,0.0,0.0,False,False,True
149,kelmarsh,K01,2022-03-25 08:37:59,0.271111,0.0,0.0,0.0,0.0,0.0,False,False,True
150,kelmarsh,K01,2022-03-25 14:24:48,0.03,0.0,0.0,0.0,0.0,0.0,False,False,True
151,kelmarsh,K01,2022-03-26 05:00:21,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
152,kelmarsh,K01,2022-03-26 22:28:57,0.030278,0.008876,0.083876,0.215015,0.0,0.0,True,True,False
153,kelmarsh,K01,2022-03-27 11:45:50,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
154,kelmarsh,K01,2022-03-27 17:02:02,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
155,kelmarsh,K01,2022-03-28 01:28:41,0.03,0.0,0.0,0.0,0.0,0.0,False,False,True
156,kelmarsh,K01,2022-03-28 02:35:19,0.025278,0.0,0.0,0.0,0.0,0.0,False,False,True
160,kelmarsh,K01,2022-04-07 13:43:00,0.028056,0.0,0.0,0.0,0.0,0.0,False,False,True
161,kelmarsh,K01,2022-04-07 14:22:42,0.028056,0.0,0.0,0.0,0.0,0.0,False,False,True
162,kelmarsh,K01,2022-04-10 05:05:58,0.025278,0.0,0.0,0.0,0.0,0.0,False,False,True
163,kelmarsh,K01,2022-04-10 05:09:07,0.020278,0.0,0.0,0.0,0.0,0.0,False,False,True
