population,tier,tier_variant,sub_pop,rule,lookback_h,T_act_h,weight,control_offset_d,n_events,E_mwh,unwarned,short_lead,actionable_unacted,warned,n_controls_matched,p_control_warned,p_control_actionable,excess_warned,excess_actionable,enrichment_warned_x
all,T0,primary,all,same,24,6,energy,45,6050,12099.750652150327,0.8865437829841144,0.06969256966611281,0.0437636473497727,0.11345621701588553,6015,0.000456150220782122,0.0003620543795553149,0.11305163532351602,0.04341731239831971,248.72555541319653
all,T0,primary,all,same,24,6,count,45,6050,12099.750652150327,0.843801652892562,0.08181818181818182,0.0743801652892562,0.15619834710743802,6015,0.000997506234413965,0.0006650041562759767,0.15535580926131465,0.07376421464230179,156.58884297520663
all,T0,primary,all,same,48,6,energy,45,6050,12099.750652150327,0.8853315745341535,0.06783492642995462,0.04683349903589193,0.11466842546584655,6015,0.0007591491185285547,0.0006650532773017476,0.11399581617067991,0.046199170668451854,151.04861833747015
all,T0,primary,all,same,48,6,count,45,6050,12099.750652150327,0.8398347107438017,0.05834710743801653,0.10181818181818182,0.16016528925619836,6015,0.0021612635078969242,0.001828761429758936,0.15834625372809616,0.10017261219792865,74.1072472981564
all,T0,primary,all,same,72,1,energy,45,6050,12099.750652150327,0.8741476121775651,0.03198354382032023,0.09386884400211468,0.12585238782243488,6015,0.006666384401537231,0.006572288560310424,0.11998587538899563,0.08787408931374871,18.87865749137029
all,T0,primary,all,same,72,1,count,45,6050,12099.750652150327,0.8381818181818181,0.031074380165289257,0.13074380165289257,0.1618181818181818,6015,0.00515378221113882,0.004987531172069825,0.15747599659698588,0.12638662772634066,31.397947214076243
all,T0,primary,all,same,72,6,energy,45,6050,12099.750652150327,0.8741476121775651,0.0674518662600482,0.05840052156238669,0.12585238782243488,6015,0.006666384401537231,0.006572288560310422,0.11998587538899563,0.052171116635115866,18.87865749137029
all,T0,primary,all,same,72,6,count,45,6050,12099.750652150327,0.8381818181818181,0.04644628099173554,0.11537190082644629,0.1618181818181818,6015,0.00515378221113882,0.0048212801330008315,0.15747599659698588,0.11108619837472009,31.397947214076243
all,T0,primary,all,same,72,24,energy,45,6050,12099.750652150327,0.8741476121775651,0.10059125676468461,0.025261131057750286,0.12585238782243488,6015,0.006666384401537231,0.006210234180755107,0.11998587538899563,0.019169946735454954,18.87865749137029
all,T0,primary,all,same,72,24,count,45,6050,12099.750652150327,0.8381818181818181,0.06264462809917355,0.09917355371900827,0.1618181818181818,6015,0.00515378221113882,0.004156275976724855,0.15747599659698588,0.0954138440099891,31.397947214076243
all,T0,primary,all,any,72,6,energy,45,6050,12099.750652150327,0.5487879728678436,0.1103024296445081,0.34090959748764826,0.4512120271321564,6015,0.1371864284253685,0.13429498819422386,0.36395533062106616,0.23866629680524376,3.2890427450527486
all,T0,primary,all,any,72,6,count,45,6050,12099.750652150327,0.3725619834710744,0.23768595041322313,0.38975206611570246,0.6274380165289256,6015,0.17240232751454695,0.16109725685785536,0.5498271734474663,0.2725641453995145,3.6393825163177316
all,T0,primary,all,same,72,6,energy,30,6050,12099.750652150327,0.8741476121775651,0.0674518662600482,0.05840052156238669,0.12585238782243488,5981,0.0037135300289384823,0.00345759814616867,0.1225941147198798,0.05513355308716389,33.89023027731109
all,T0,primary,all,same,72,6,count,30,6050,12099.750652150327,0.8381818181818181,0.04644628099173554,0.11537190082644629,0.1618181818181818,5981,0.012539709078749373,0.012372512957699382,0.15117415263368528,0.10428971370289068,12.904460606060605
all,T0,primary,all,same,72,6,energy,60,6050,12099.750652150327,0.8741476121775651,0.0674518662600482,0.05840052156238669,0.12585238782243488,6011,0.01612010951788896,0.016050146689607917,0.1115301566441977,0.04304119232326277,7.807167047021162
all,T0,primary,all,same,72,6,count,60,6050,12099.750652150327,0.8381818181818181,0.04644628099173554,0.11537190082644629,0.1618181818181818,6011,0.003826318416236899,0.0033272334054233904,0.15859871257666847,0.11241871071069415,42.29083003952569
all,T1,primary,all,same,24,6,energy,45,4610,11708.188770154778,0.8827494189940088,0.07202332758907448,0.04522725341691676,0.11725058100599126,4577,0.00047175827299108733,0.00037444276259477645,0.11683394011081358,0.04486961175570435,248.5395333135078
all,T1,primary,all,same,24,6,count,45,4610,11708.188770154778,0.7950108459869848,0.10737527114967461,0.09761388286334056,0.20498915401301518,4577,0.0013109023377758358,0.0008739348918505571,0.20394560444488524,0.09682456633840143,156.3725596529284
all,T1,primary,all,same,48,6,energy,45,4610,11708.188770154778,0.8814966701469501,0.07010355840876678,0.04839977144428325,0.11850332985305004,4577,0.0007851248575210021,0.0006878093471246912,0.1178107011054489,0.04774480141785036,150.9356489198663
all,T1,primary,all,same,48,6,count,45,4610,11708.188770154778,0.7898047722342734,0.07657266811279827,0.1336225596529284,0.2101952277657267,4577,0.002840288398514311,0.002403320952589032,0.20794556474227238,0.13153536038796612,74.00488903721008
all,T1,primary,all,same,72,1,energy,45,4610,11708.188770154778,0.8699386778328266,0.03305318292992319,0.09700813923725024,0.1300613221671734,4577,0.006894487493553322,0.006797171983157012,0.1240219021267597,0.09082834312324713,18.864538123941337
all,T1,primary,all,same,72,1,count,45,4610,11708.188770154778,0.7876355748373102,0.040780911062906725,0.1715835140997831,0.2123644251626898,4577,0.006772995411841818,0.006554511688879178,0.20699339506591097,0.1661178236276022,31.354579805471975
all,T1,primary,all,same,72,6,energy,45,4610,11708.188770154778,0.8699386778328266,0.06970768739646702,0.0603536347707064,0.1300613221671734,4577,0.006894487493553322,0.00679717198315701,0.1240219021267597,0.05392298660132405,18.864538123941337
all,T1,primary,all,same,72,6,count,45,4610,11708.188770154778,0.7876355748373102,0.06095444685466377,0.15140997830802602,0.2123644251626898,4577,0.006772995411841818,0.00633602796591654,0.20699339506591097,0.14599900411517924,31.354579805471975
all,T1,primary,all,same,72,24,energy,45,4610,11708.188770154778,0.8699386778328266,0.10395537247756756,0.026105949689605855,0.1300613221671734,4577,0.006894487493553322,0.006422729220562234,0.1240219021267597,0.01981045767442184,18.864538123941337
all,T1,primary,all,same,72,24,count,45,4610,11708.188770154778,0.7876355748373102,0.08221258134490239,0.1301518438177874,0.2123644251626898,4577,0.006772995411841818,0.005462093074065982,0.20699339506591097,0.12537455825000285,31.354579805471975
all,T1,primary,all,any,72,6,energy,45,4610,11708.188770154778,0.5550557752144072,0.11351975790384104,0.3314244668817519,0.444944224785593,4577,0.1393858256812832,0.13752624214157974,0.3550469051316722,0.22481637611981883,3.1921769850758963
all,T1,primary,all,any,72,6,count,45,4610,11708.188770154778,0.39349240780911066,0.1841648590021692,0.4223427331887202,0.6065075921908893,4577,0.1863666156871313,0.17413152720122352,0.5163762753645812,0.30054568513353763,3.2543789559879257
all,T1,primary,all,same,72,6,energy,30,4610,11708.188770154778,0.8699386778328266,0.06970768739646702,0.0603536347707064,0.1300613221671734,4543,0.0038390051508027574,0.0035744256782923893,0.12670875257013917,0.05698289019836235,33.87891317102736
all,T1,primary,all,same,72,6,count,30,4610,11708.188770154778,0.7876355748373102,0.06095444685466377,0.15140997830802602,0.2123644251626898,4543,0.016508914813999558,0.0162887959498129,0.1991431476083482,0.13735858837622786,12.863621113521331
all,T1,primary,all,same,72,6,energy,60,4610,11708.188770154778,0.8699386778328266,0.06970768739646702,0.0603536347707064,0.1300613221671734,4571,0.016691819292418458,0.016619375188638784,0.1152939689703131,0.04447337935955065,7.791920095028117
all,T1,primary,all,same,72,6,count,60,4610,11708.188770154778,0.7876355748373102,0.06095444685466377,0.15140997830802602,0.2123644251626898,4571,0.005031721723911617,0.004375410194705754,0.20838121974904467,0.14768073189320743,42.20512119211544
all,T2,primary,all,same,24,6,energy,45,4213,9386.501584975991,0.853748287005485,0.08983780673060394,0.056413906263911164,0.14625171299451514,4180,0.0005918301163298453,0.00046974587714230056,0.14574613983307733,0.05597045227596729,247.11772679206567
all,T2,primary,all,same,24,6,count,45,4213,9386.501584975991,0.7756942796107287,0.1174934725848564,0.10681224780441491,0.2243057203892713,4180,0.0014354066985645933,0.0009569377990430622,0.22319068309227455,0.10595670398047279,156.266318537859
all,T2,primary,all,same,48,6,energy,45,4213,9386.501584975991,0.8521856792703055,0.08744319572940362,0.060371125000290994,0.1478143207296946,4180,0.000984954715926914,0.0008628704767393692,0.1469741288751225,0.05955964678436688,150.07219960421284
all,T2,primary,all,same,48,6,count,45,4213,9386.501584975991,0.7699976263944932,0.08378827438879659,0.1462140992167102,0.23000237360550677,4180,0.003110047846889952,0.002631578947368421,0.22760017318718942,0.14396136596926087,73.9546093593091
all,T2,primary,all,same,72,1,energy,45,4213,9386.501584975991,0.8377688963408324,0.04122866242492496,0.12100244123424282,0.16223110365916776,4180,0.008649271393744938,0.008527187154557393,0.15492179289699448,0.1134426003642914,18.75662079195383
