metric,scope,weight,stat,value,n_events,E_mwh
duration_quantile,overall,count,p10,0.029722222222222223,4213,9386.501584975991
duration_quantile,overall,count,p25,0.03333333333333333,4213,9386.501584975991
duration_quantile,overall,count,p50,0.17555555555555555,4213,9386.501584975991
duration_quantile,overall,count,p75,0.346527777777778,4213,9386.501584975991
duration_quantile,overall,count,p90,2.0971111111111114,4213,9386.501584975991
share_duration_ge,overall,count,ge_1h,0.14431521481129836,608,8705.060350312691
share_duration_ge,overall,count,ge_6h,0.062425824827913604,263,7855.787909566314
share_duration_ge,overall,count,ge_24h,0.0275338238784714,116,6396.288125443973
share_duration_ge,overall,count,ge_72h,0.008307619273676715,35,4027.3984663144133
share_duration_ge,overall,count,ge_168h,0.002136244956088298,9,2296.8364049641027
duration_quantile,overall,energy,p10,2.0071422318657457,4213,9386.501584975991
duration_quantile,overall,energy,p25,17.396499203941495,4213,9386.501584975991
duration_quantile,overall,energy,p50,52.94378014739453,4213,9386.501584975991
duration_quantile,overall,energy,p75,167.28781332546134,4213,9386.501584975991
duration_quantile,overall,energy,p90,595.8663708155032,4213,9386.501584975991
share_duration_ge,overall,energy,ge_1h,0.9274020007886631,608,8705.060350312691
share_duration_ge,overall,energy,ge_6h,0.8369239421575624,263,7855.787909566314
share_duration_ge,overall,energy,ge_24h,0.6814347249119793,116,6396.288125443973
share_duration_ge,overall,energy,ge_72h,0.4290627801907216,35,4027.3984663144133
share_duration_ge,overall,energy,ge_168h,0.24469568179058457,9,2296.8364049641027
duration_quantile,family:anemometry,count,p10,0.023055555555555555,853,395.2717088257755
duration_quantile,family:anemometry,count,p25,0.028263888888888887,853,395.2717088257755
duration_quantile,family:anemometry,count,p50,0.03027777777777778,853,395.2717088257755
duration_quantile,family:anemometry,count,p75,0.052013888888888894,853,395.2717088257755
duration_quantile,family:anemometry,count,p90,0.4168333333333332,853,395.2717088257755
share_duration_ge,family:anemometry,count,ge_1h,0.04572098475967175,39,388.9186045215748
share_duration_ge,family:anemometry,count,ge_6h,0.022274325908558032,19,378.0782449898566
share_duration_ge,family:anemometry,count,ge_24h,0.009378663540445486,8,328.07090717785525
share_duration_ge,family:anemometry,count,ge_72h,0.0023446658851113715,2,152.50548790331297
share_duration_ge,family:anemometry,count,ge_168h,0.0,0,0.0
duration_quantile,family:anemometry,energy,p10,14.773476937792893,853,395.2717088257755
duration_quantile,family:anemometry,energy,p25,29.67607752247561,853,395.2717088257755
duration_quantile,family:anemometry,energy,p50,64.52885040090544,853,395.2717088257755
duration_quantile,family:anemometry,energy,p75,137.28673824432488,853,395.2717088257755
duration_quantile,family:anemometry,energy,p90,167.28944444444446,853,395.2717088257755
share_duration_ge,family:anemometry,energy,ge_1h,0.9839272476062765,39,388.9186045215748
share_duration_ge,family:anemometry,energy,ge_6h,0.9565021643289496,19,378.0782449898566
share_duration_ge,family:anemometry,energy,ge_24h,0.8299883342332997,8,328.07090717785525
share_duration_ge,family:anemometry,energy,ge_72h,0.3858244455601376,2,152.50548790331297
share_duration_ge,family:anemometry,energy,ge_168h,0.0,0,0.0
duration_quantile,family:brake_hydraulic,count,p10,0.06763888888888889,30,217.5347389966022
duration_quantile,family:brake_hydraulic,count,p25,0.13944444444444445,30,217.5347389966022
duration_quantile,family:brake_hydraulic,count,p50,0.529861111111111,30,217.5347389966022
duration_quantile,family:brake_hydraulic,count,p75,2.2705555555555557,30,217.5347389966022
duration_quantile,family:brake_hydraulic,count,p90,25.91194444444445,30,217.5347389966022
share_duration_ge,family:brake_hydraulic,count,ge_1h,0.43333333333333335,13,215.09801391075544
share_duration_ge,family:brake_hydraulic,count,ge_6h,0.2,6,209.13163061984397
share_duration_ge,family:brake_hydraulic,count,ge_24h,0.13333333333333333,4,202.82239991885476
share_duration_ge,family:brake_hydraulic,count,ge_72h,0.06666666666666667,2,177.8719419817956
share_duration_ge,family:brake_hydraulic,count,ge_168h,0.0,0,0.0
duration_quantile,family:brake_hydraulic,energy,p10,22.9034875177669,30,217.5347389966022
duration_quantile,family:brake_hydraulic,energy,p25,67.30274733586809,30,217.5347389966022
duration_quantile,family:brake_hydraulic,energy,p50,127.15087671671048,30,217.5347389966022
duration_quantile,family:brake_hydraulic,energy,p75,163.8763888888889,30,217.5347389966022
duration_quantile,family:brake_hydraulic,energy,p90,163.8763888888889,30,217.5347389966022
share_duration_ge,family:brake_hydraulic,energy,ge_1h,0.988798455377351,13,215.09801391075544
share_duration_ge,family:brake_hydraulic,energy,ge_6h,0.9613711887328052,6,209.13163061984397
share_duration_ge,family:brake_hydraulic,energy,ge_24h,0.9323678638841347,4,202.82239991885476
share_duration_ge,family:brake_hydraulic,energy,ge_72h,0.8176714340074847,2,177.8719419817956
share_duration_ge,family:brake_hydraulic,energy,ge_168h,0.0,0,0.0
duration_quantile,family:control,count,p10,0.06680555555555556,236,659.3709661954226
duration_quantile,family:control,count,p25,0.15486111111111112,236,659.3709661954226
duration_quantile,family:control,count,p50,0.2856944444444445,236,659.3709661954226
duration_quantile,family:control,count,p75,0.6783333333333332,236,659.3709661954226
duration_quantile,family:control,count,p90,5.61994444444444,236,659.3709661954226
