population,rule,hours_before_lo,hours_before_hi,n_warnings,n_anchors,rate_per_anchor_hour
events_warned,same,0,1,3595,979,3.672114402451481
events_warned,same,1,2,1380,979,1.4096016343207354
events_warned,same,2,3,881,979,0.8998978549540347
events_warned,same,3,4,735,979,0.7507660878447395
events_warned,same,4,5,809,979,0.8263534218590398
events_warned,same,5,6,583,979,0.5955056179775281
events_warned,same,6,7,528,979,0.5393258426966292
events_warned,same,7,8,464,979,0.473953013278856
events_warned,same,8,9,530,979,0.5413687436159347
events_warned,same,9,10,391,979,0.39938712972420837
events_warned,same,10,11,334,979,0.3411644535240041
events_warned,same,11,12,265,979,0.27068437180796734
events_warned,same,12,13,294,979,0.3003064351378958
events_warned,same,13,14,283,979,0.28907048008171604
events_warned,same,14,15,298,979,0.30439223697650664
events_warned,same,15,16,311,979,0.3176710929519918
events_warned,same,16,17,287,979,0.2931562819203269
events_warned,same,17,18,266,979,0.27170582226762
events_warned,same,18,19,258,979,0.2635342185903984
events_warned,same,19,20,311,979,0.3176710929519918
events_warned,same,20,21,272,979,0.27783452502553624
events_warned,same,21,22,254,979,0.25944841675178754
events_warned,same,22,23,232,979,0.236976506639428
events_warned,same,23,24,445,979,0.45454545454545453
events_warned,same,24,25,355,979,0.3626149131767109
events_warned,same,25,26,357,979,0.36465781409601633
events_warned,same,26,27,430,979,0.43922369765066394
events_warned,same,27,28,327,979,0.33401430030643514
events_warned,same,28,29,363,979,0.3707865168539326
events_warned,same,29,30,381,979,0.3891726251276813
events_warned,same,30,31,241,979,0.24616956077630234
events_warned,same,31,32,286,979,0.29213483146067415
events_warned,same,32,33,265,979,0.27068437180796734
events_warned,same,33,34,247,979,0.2522982635342186
events_warned,same,34,35,277,979,0.28294177732379977
events_warned,same,35,36,340,979,0.3472931562819203
events_warned,same,36,37,230,979,0.23493360572012256
events_warned,same,37,38,199,979,0.20326864147088866
events_warned,same,38,39,225,979,0.22982635342185903
events_warned,same,39,40,262,979,0.2676200204290092
events_warned,same,40,41,258,979,0.2635342185903984
events_warned,same,41,42,231,979,0.23595505617977527
events_warned,same,42,43,185,979,0.18896833503575078
events_warned,same,43,44,221,979,0.2257405515832482
events_warned,same,44,45,274,979,0.27987742594484166
events_warned,same,45,46,205,979,0.2093973442288049
events_warned,same,46,47,222,979,0.22676200204290092
events_warned,same,47,48,234,979,0.2390194075587334
events_warned,same,48,49,196,979,0.20020429009193055
events_warned,same,49,50,209,979,0.21348314606741572
