rule,min_warning_rows,n_events,E_mwh,share_of_warned_events,share_of_warned_energy,n_warned_events_rule,E_warned_mwh_rule,n_infinite_ratio,n_undefined,frac_rr_gt1_count,frac_rr_gt1_energy,frac_rr_ge2_count,frac_rr_ge2_energy,median_rr_count,median_rr_energy,frac_laplace_gt0_count,frac_laplace_gt0_energy,median_laplace_count,n_defined,direction_holds,table,step,n_dropped,E_dropped_mwh,n_cum_dropped,E_cum_dropped_mwh
same,1.0,979,1522.7825116291824,1.0,1.0,979.0,1522.7825116291824,379.0,0.0,0.7814096016343207,0.899425218106683,0.7027579162410623,0.8989406677331296,5.000000000000001,inf,0.8457609805924413,0.9041761865822567,2.582359460693008,979.0,0.0,statistics,,,,,
same,2.0,910,1247.3315867599263,0.9295199182839632,0.8191134172045627,979.0,1522.7825116291824,334.0,0.0,0.7912087912087912,0.994419719464824,0.7065934065934066,0.9938281647870763,4.583333333333334,inf,0.8527472527472527,0.9946756295799914,2.883742580812612,910.0,1.0,statistics,,,,,
same,3.0,799,840.5458725555463,0.8161389172625128,0.551980250716348,979.0,1522.7825116291824,229.0,0.0,0.7634543178973717,0.9920969721750528,0.6670838548185232,0.9912191321202238,3.3333333333333335,inf,0.8335419274092616,0.9924767310679841,3.3474897349762243,799.0,1.0,statistics,,,,,
any,1.0,2652,4420.804773719382,1.0,1.0,2652.0,4420.804773719382,1160.0,0.0,0.7435897435897436,0.605927698332491,0.6911764705882353,0.5950397923482341,6.0,4.0,0.7929864253393665,0.8561212492333016,1.7288433060733794,2652.0,0.0,statistics,,,,,
any,2.0,2139,3211.845370728228,0.8065610859728507,0.7265295653456298,2652.0,4420.804773719382,783.0,0.0,0.7456755493221131,0.6510435004097288,0.6806919121084619,0.6360573160841436,4.0,4.0,0.7905563347358578,0.86510155720802,2.371108540366308,2139.0,0.0,statistics,,,,,
any,3.0,1752,2350.237351231153,0.6606334841628959,0.531631110516969,2652.0,4420.804773719382,553.0,0.0,0.7277397260273972,0.7765245312372393,0.6484018264840182,0.7560443415552073,4.0,8.0,0.7831050228310502,0.8407132571970701,2.591426305964916,1752.0,0.0,statistics,,,,,
same,,979,1522.7825116291824,,,,,,,,,,,,,,,,,,inclusion_flow,warned (no floor),0.0,0.0,0.0,0.0
same,,979,1522.7825116291824,,,,,,,,,,,,,,,,,,inclusion_flow,floor>=1,0.0,0.0,0.0,0.0
same,,910,1247.3315867599263,,,,,,,,,,,,,,,,,,inclusion_flow,floor>=2,69.0,275.45092486925614,69.0,275.45092486925614
same,,799,840.5458725555463,,,,,,,,,,,,,,,,,,inclusion_flow,floor>=3,111.0,406.78571420437993,180.0,682.2366390736361
any,,2652,4420.804773719382,,,,,,,,,,,,,,,,,,inclusion_flow,warned (no floor),0.0,0.0,0.0,0.0
any,,2652,4420.804773719382,,,,,,,,,,,,,,,,,,inclusion_flow,floor>=1,0.0,0.0,0.0,0.0
any,,2139,3211.845370728228,,,,,,,,,,,,,,,,,,inclusion_flow,floor>=2,513.0,1208.959402991154,513.0,1208.959402991154
any,,1752,2350.237351231153,,,,,,,,,,,,,,,,,,inclusion_flow,floor>=3,387.0,861.608019497075,900.0,2070.567422488229
