rank_by_energy,event_id,farm,turbine_id,turbine,start_date,start_datetime,duration_h,lost_energy_mwh,stop_message,stop_code,stop_family_frozen_map,all_constituent_families,n_stop_constituents,warning_message,warning_code,warning_family_frozen_map,warning_message_coearliest_ties,lead_h,n_matching_warning_rows_72h,n_any_warning_rows_72h,map_flag,swept_slot_entries,disputed_entries,flagged_entry_is_match_critical
1,2178,penmanshiel,4,P04,2023-06-23,2023-06-23 14:08:57,283.297,210.1497,WEC shut down,55.0,control,control,1,Parameter outside limits,7016.0,control,,20.789,2,5,swept+disputed,stop:WEC shut down [wec_shut_down],stop:WEC shut down [control->never_match]; warning:Parameter outside limits [control->never_match],True
2,2993,penmanshiel,7,P07,2023-09-27,2023-09-27 13:09:34,163.876,125.8088,Low hydraulic pressure,5510.0,brake_hydraulic,brake_hydraulic,1,Timeout brake closed,2125.0,brake_hydraulic,,52.252,1,7,neither,,,False
3,6025,penmanshiel,15,P15,2024-04-17,2024-04-17 08:00:00,120.679,53.0352,Anemometer defect,6530.0,anemometry,anemometry|pitch|safety,4,Error brake resistor CHP,785.0,pitch,,19.112,11,17,swept+disputed,warning:Error brake resistor CHP [brake_resistor_chp],warning:Error brake resistor CHP [pitch->converter],True
4,2975,penmanshiel,7,P07,2022-12-27,2022-12-27 19:56:10,42.35,44.469,Pitch current asymmetry,550.0,pitch,pitch,1,Error brake resistor CHP,785.0,pitch,,21.248,4,4,swept+disputed,warning:Error brake resistor CHP [brake_resistor_chp],warning:Error brake resistor CHP [pitch->converter],True
5,4095,penmanshiel,11,P11,2017-06-10,2017-06-10 12:29:21,27.15,42.3906,Repeating error BP52,455.0,control,control,1,Repeating error BP 0,440.0,control,,28.721,2,23,swept,stop:Repeating error BP52 [bp_repeat]; warning:Repeating error BP 0 [bp_repeat],,True
6,2421,penmanshiel,5,P05,2022-04-01,2022-04-01 21:41:28,60.722,31.7599,Anemometer defect,6530.0,anemometry,anemometry,1,4-20mA anemometer 2,6525.0,anemometry,4-20 mA vane 2,64.754,60,62,neither,,,False
7,5279,penmanshiel,13,P13,2021-01-23,2021-01-23 19:35:12,39.239,22.0938,Anemometer defect,6530.0,anemometry,anemometry,1,4-20mA anemometer 2,6525.0,anemometry,4-20 mA vane 2,69.964,72,75,neither,,,False
8,5326,penmanshiel,13,P13,2022-11-09,2022-11-09 22:54:12,12.508,21.72,Charging circuit pitch,715.0,pitch,pitch,1,Battery charge cycle axis 1 error,716.0,pitch,Battery charge cycle axis 2 error|Battery charge cycle axis 3 error,13.095,3,4,neither,,,False
9,4452,penmanshiel,11,P11,2023-02-24,2023-02-24 20:01:38,11.106,20.5166,Service generator brushes,2810.0,generator,generator,1,Overload generator heating,2674.0,generator,,11.102,3,4,disputed,,warning:Overload generator heating [generator->auxiliary],True
10,3,kelmarsh,1,K01,2016-04-25,2016-04-25 16:24:06,24.138,19.0493,Feedback brake 1,2100.0,brake_hydraulic,brake_hydraulic,1,Timeout brake closed,2125.0,brake_hydraulic,,37.73,18,27,neither,,,False
11,624,kelmarsh,4,K04,2023-02-10,2023-02-10 20:16:56,13.227,11.2887,Particle Gear Alarm 24h,1924.0,drivetrain,drivetrain,1,Particle Gear Alarm 10min,1922.0,drivetrain,,11.311,3,3,neither,,,False
12,2833,penmanshiel,7,P07,2017-04-26,2017-04-26 12:55:17,26.008,11.2028,Battery voltage axis 3,735.0,pitch,pitch,1,Pitch measuring system 1><2,675.0,pitch,,29.263,5,7,neither,,,False
13,2724,penmanshiel,6,P06,2023-05-05,2023-05-05 15:16:33,65.038,9.4068,Charging circuit pitch,715.0,pitch,pitch,1,Battery charge cycle axis 1 error,716.0,pitch,Battery charge cycle axis 2 error|Battery charge cycle axis 3 error,6.683,15,15,neither,,,False
14,5949,penmanshiel,15,P15,2023-03-05,2023-03-05 16:34:07,18.682,8.0448,Error pitch converter 3,658.0,pitch,pitch,1,Error brake resistor CHP,785.0,pitch,,7.588,1,3,swept+disputed,warning:Error brake resistor CHP [brake_resistor_chp],warning:Error brake resistor CHP [pitch->converter],True
15,893,kelmarsh,5,K05,2023-03-16,2023-03-16 17:30:09,14.223,6.7832,Anemometer defect,6530.0,anemometry,anemometry,1,4-20mA anemometer 2,6525.0,anemometry,4-20 mA vane 2,70.38,26,27,neither,,,False
16,3665,penmanshiel,9,P09,2020-09-23,2020-09-23 16:55:15,18.208,4.8828,WEC shut down,55.0,control,control,1,Repeating error BP 0,440.0,control,,8.785,1,5,swept+disputed,stop:WEC shut down [wec_shut_down]; warning:Repeating error BP 0 [bp_repeat],stop:WEC shut down [control->never_match],True
17,659,kelmarsh,4,K04,2024-03-18,2024-03-18 05:44:02,8.059,3.3541,Pitch controller communication error,650.0,pitch,pitch,1,Battery monitoring axis 2,712.0,pitch,,31.622,1,1,neither,,,False
18,5277,penmanshiel,13,P13,2021-01-22,2021-01-22 20:18:23,23.121,3.3045,Anemometer defect,6530.0,anemometry,anemometry,1,4-20mA anemometer 2,6525.0,anemometry,4-20 mA vane 2,46.684,36,38,neither,,,False
19,2715,penmanshiel,6,P06,2022-12-31,2022-12-31 12:56:34,18.346,1.8795,Anemometer defect,6530.0,anemometry,anemometry,1,4-20 mA vane 2,6635.0,anemometry,,7.115,22,23,neither,,,False
20,5892,penmanshiel,15,P15,2021-12-31,2021-12-31 05:23:43,7.861,1.6027,Anemometer defect,6530.0,anemometry,anemometry,1,4-20mA anemometer 2,6525.0,anemometry,4-20 mA vane 2,53.702,30,31,neither,,,False
21,921,kelmarsh,5,K05,2023-04-27,2023-04-27 22:27:42,7.398,1.3967,Anemometer defect,6530.0,anemometry,anemometry,1,4-20 mA vane 2,6635.0,anemometry,4-20mA anemometer 2,65.064,26,28,neither,,,False
22,907,kelmarsh,5,K05,2023-03-18,2023-03-18 05:17:43,9.129,0.4334,Anemometer defect,6530.0,anemometry,anemometry,1,4-20mA anemometer 2,6525.0,anemometry,4-20 mA vane 2,48.041,60,63,neither,,,False
23,3686,penmanshiel,9,P09,2021-04-30,2021-04-30 05:22:38,6.603,0.0259,Anemometer defect,6530.0,anemometry,anemometry,1,4-20 mA vane 2,6635.0,anemometry,4-20mA anemometer 2,71.991,204,221,neither,,,False
