dropped_rank,dropped_index,dropped_E_mwh,dropped_warned,dropped_actionable,dropped_lead_h,E_unwarned_loo,E_unwarned_shift,E_short_lead_loo,E_short_lead_shift,E_actionable_loo,E_actionable_shift,E_warned_loo,E_warned_shift,E_excess_warned_loo,E_excess_warned_shift,E_excess_actionable_loo,E_excess_actionable_shift,recoverable_mwh_median_loo,recoverable_mwh_median_shift
1,3138,544.1055634852943,False,False,,0.827786212251952,-0.009982684088880367,0.09229972970959334,0.0053503209889786685,0.07991405803845458,0.004632363099901504,0.1722137877480479,0.009982684088880145,0.16452919811992656,0.009607405222932075,0.07149428753631969,0.004165655909582552,666.4309923935815,0.0
2,2824,505.59119936371104,False,False,,0.8285330618698507,-0.009235834470981752,0.09189944806683313,0.00495003934621846,0.07956749006331627,0.004285795124763195,0.1714669381301494,0.009235834470981641,0.16381011390108796,0.00888832100409348,0.07118254140537639,0.003853909778639253,666.4309923935815,0.0
3,576,395.212302544104,False,False,,0.8306380248932095,-0.007130871447622922,0.09077127174224667,0.0038218630216319965,0.07859070336454393,0.003309008425990856,0.1693619751067906,0.0071308714476228385,0.16178367746767222,0.00686188457067774,0.07030398104079756,0.002975349414060427,666.4309923935815,0.0
4,1702,210.14969229268868,True,True,20.788888888888888,0.8569548296874806,0.0191859333466482,0.0889406566262489,0.001991247905634236,0.054104513686270596,-0.021177181252282483,0.1430451703125195,-0.019185933346648254,0.13539058160352135,-0.019531211293473127,0.04577578718075898,-0.021552844445978152,456.8685860792068,-209.5624063143747
5,849,199.55244503478767,False,False,,0.8342450264572894,-0.0035238698835430293,0.0888380625969154,0.0018886538763007304,0.07691691094579521,0.0016352160072421323,0.1657549735427106,0.003523869883542835,0.1583121655076479,0.0033903726106534193,0.0687987890073417,0.0014701573806045615,666.4309923935815,0.0
6,1871,168.6622911883661,True,False,1.6002777777777777,0.853097870630764,0.01532897428993163,0.07024297679140319,-0.01670643192921148,0.07665915257783273,0.0013774576392796556,0.14690212936923594,-0.015328974289931824,0.13931761652027203,-0.015604176376722456,0.06856702620475241,0.0012383945780152783,666.4309923935815,0.0
7,1255,161.25965670382482,False,False,,0.8349330539546739,-0.002835842386158527,0.08846930726743933,0.0015198985468246606,0.07659763877788682,0.0013159438393337414,0.16506694604532615,0.002835842386158388,0.15765011536674628,0.0027283224697517983,0.06851171747112242,0.0011830858443852843,666.4309923935815,0.0
8,1064,150.15274176037855,False,False,,0.835131550629152,-0.0026373457116803944,0.08836292095748018,0.001413512236865505,0.07650552841336763,0.0012238334748145563,0.1648684493708478,0.0026373457116800336,0.15745912110024646,0.002537328203251976,0.06842889943181625,0.0011002678050791165,666.4309923935815,0.0
9,1947,143.95636062319915,False,False,,0.8352420816273782,-0.002526814713454173,0.08830368074568178,0.0013542720250671048,0.07645423762693995,0.001172542688386874,0.16475791837262171,0.002526814713453951,0.15735276928256406,0.0024309763855695776,0.06838278345625919,0.0010541518295220514,666.4309923935815,0.0
10,1916,126.09143396678131,False,False,,0.835559928038044,-0.0022089683027883833,0.08813332773169122,0.001183919011076548,0.07630674423026479,0.0010250492917117104,0.16444007196195598,0.0022089683027882168,0.15715003386060764,0.002228240963613154,0.06836249688096423,0.0010338652542270926,666.4309923935815,0.0
