rule,metric,cell,n_events,E_mwh,share_count,share_energy,n_warned,E_warned_mwh
same,lead_ge_own_duration,lead>=duration,826,227.16362828362682,0.8437180796731358,0.1491766726691593,979,1522.7825116291824
same,lead_ge_own_duration,lead<duration,153,1295.6188833455558,0.15628192032686414,0.8508233273308409,979,1522.7825116291824
same,quadrant_6h,lead>=6h & dur>=6h,23,654.5987620661612,0.02349336057201226,0.42987016009648304,979,1522.7825116291824
same,quadrant_6h,lead>=6h & dur<6h,675,52.03298679424644,0.6894790602655771,0.03416967715145205,979,1522.7825116291824
same,quadrant_6h,lead<6h & dur>=6h,22,796.3066049637093,0.02247191011235955,0.5229286512568122,979,1522.7825116291824
same,quadrant_6h,lead<6h & dur<6h,259,19.844157805065578,0.26455566905005107,0.013031511495252772,979,1522.7825116291824
any,lead_ge_own_duration,lead>=duration,2392,1336.1515702250908,0.9019607843137255,0.3022417045349276,2652,4420.804773719382
any,lead_ge_own_duration,lead<duration,260,3084.6532034942907,0.09803921568627451,0.6977582954650723,2652,4420.804773719382
any,quadrant_6h,lead>=6h & dur>=6h,88,2736.9461242639327,0.033182503770739065,0.6191058561405872,2652,4420.804773719382
any,quadrant_6h,lead>=6h & dur<6h,1735,485.5744073380898,0.6542232277526395,0.10983846430512212,2652,4420.804773719382
any,quadrant_6h,lead<6h & dur>=6h,42,978.4604773518788,0.01583710407239819,0.22133084979653259,2652,4420.804773719382
any,quadrant_6h,lead<6h & dur<6h,787,219.8237647654804,0.29675716440422323,0.049724829757758056,2652,4420.804773719382
