tier,rule,weight,n_warned,E_warned_mwh,lead_p25_h,lead_median_h,lead_p75_h,lead_mean_h,frac_ge_1h,frac_ge_6h,frac_ge_24h
T0,same,count,979,1522.7825116291824,3.0213888888888896,37.992777777777775,62.764375,35.021424923391216,0.8079673135852911,0.7129724208375894,0.6128702757916241
T0,same,energy,979,1522.7825116291824,0.7179755019091288,3.0369211827595946,20.903352836818936,15.577090881972643,0.745864624631153,0.46403983724793507,0.20072031603715942
T0,any,count,3796,5459.553019550381,2.088611111111111,22.999583333333334,53.34402777777778,27.777698454513526,0.8050579557428873,0.6211801896733403,0.47839831401475236
T0,any,energy,3796,5459.553019550381,6.293377595524211,24.25114459342473,48.95074229475763,26.8272642331179,0.8820558012061944,0.7555419115364107,0.5400996129559458
T1,same,count,979,1522.7825116291824,3.0213888888888896,37.992777777777775,62.764375,35.021424923391216,0.8079673135852911,0.7129724208375894,0.6128702757916241
T1,same,energy,979,1522.7825116291824,0.7179755019091288,3.0369211827595946,20.903352836818936,15.577090881972643,0.745864624631153,0.46403983724793507,0.20072031603715942
T1,any,count,2796,5209.490975979903,3.01,30.034861111111102,57.55180555555555,32.00450653711651,0.8175965665236051,0.6963519313304721,0.5661659513590844
T1,any,energy,2796,5209.490975979903,4.892563293247265,24.256926890600226,49.17656010726911,27.166780104933665,0.8769693250478882,0.7448674427484855,0.553644298834784
T2,same,count,979,1522.7825116291824,3.0213888888888896,37.992777777777775,62.764375,35.021424923391216,0.8079673135852911,0.7129724208375894,0.6128702757916241
T2,same,energy,979,1522.7825116291824,0.7179755019091288,3.0369211827595946,20.903352836818936,15.577090881972643,0.745864624631153,0.46403983724793507,0.20072031603715942
T2,any,count,2652,4420.804773719382,2.697916666666667,30.137777777777778,57.651805555555555,31.9231221719457,0.8125942684766214,0.6874057315233786,0.5625942684766214
T2,any,energy,2652,4420.804773719382,3.7083333333333335,24.36567603556177,52.2427353129076,28.565052195309125,0.8764355807827232,0.7289443204457092,0.5870638804319495
