event_id,in_headline_23,in_top20_energy,farm,turbine_id,event_start,duration_h,energy_MWh,lead_h,primary_family,n_messages,n_stop_messages,n_warning_messages,n_ambiguous_slot,n_thin_rationale,n_disagreements
4440,False,True,penmanshiel,11,2022-11-02 07:44:29,703.4855555555556,544.1055634852943,,generator,1,1,0,0,1,0
4004,False,True,penmanshiel,10,2023-03-24 01:43:36,1471.503888888889,505.59119936371104,,electrical,4,4,0,1,2,0
657,False,True,kelmarsh,4,2024-01-31 07:44:27,389.5577777777778,395.212302544104,,converter,1,1,0,0,1,0
2178,True,True,penmanshiel,4,2023-06-23 14:08:57,283.2966666666667,210.14969229268868,20.788888888888888,control,2,1,1,1,1,2
944,False,True,kelmarsh,5,2023-07-06 23:50:15,370.26722222222224,199.55244503478767,,drivetrain,1,1,0,0,1,0
2432,False,True,penmanshiel,5,2022-10-11 03:38:06,250.80027777777778,168.6622911883661,1.6002777777777777,pitch,4,1,3,0,4,0
1582,False,True,penmanshiel,2,2018-02-27 22:21:45,136.77777777777777,161.25965670382482,,safety,1,1,0,0,1,0
1185,False,True,kelmarsh,6,2024-04-15 03:49:27,206.83194444444445,150.15274176037855,,pitch,1,1,0,0,1,0
2570,False,True,penmanshiel,6,2018-02-28 12:30:51,122.2925,143.95636062319915,,pitch,1,1,0,0,1,0
2509,False,True,penmanshiel,6,2016-12-31 09:00:42,98.43861111111111,126.09143396678131,,converter,1,1,0,0,1,0
2993,True,True,penmanshiel,7,2023-09-27 13:09:34,163.8763888888889,125.80884116006511,52.2525,brake_hydraulic,2,1,1,0,1,0
743,False,True,kelmarsh,5,2021-11-26 13:44:40,94.23722222222223,116.45054315520555,,electrical,1,1,0,0,1,0
1344,False,True,penmanshiel,1,2019-11-02 19:41:08,122.09083333333334,103.75803700765971,,converter,1,1,0,0,1,0
2231,False,True,penmanshiel,5,2016-12-24 22:24:22,67.20222222222222,103.3470323521161,,control,1,1,0,1,0,0
1521,False,True,penmanshiel,2,2016-12-14 11:27:52,167.28944444444446,99.47032034600812,0.0008333333333333334,anemometry,3,1,2,0,3,0
734,False,True,kelmarsh,5,2021-10-30 12:16:07,99.43194444444444,95.13565374517064,,converter,1,1,0,0,1,0
1942,False,True,penmanshiel,4,2016-12-20 04:33:23,59.70472222222222,82.29614677966514,,drivetrain,1,1,0,0,1,0
2718,False,True,penmanshiel,6,2023-02-02 14:16:45,121.22666666666667,79.04761011471689,1.8958333333333333,pitch,5,1,4,0,5,0
2741,False,True,penmanshiel,6,2023-11-23 06:58:18,54.25972222222222,75.04277491006837,,pitch,1,1,0,0,1,0
1160,False,True,kelmarsh,6,2022-05-12 02:37:43,176.69861111111112,74.96893391148754,,pitch,1,1,0,0,1,0
6025,True,False,penmanshiel,15,2024-04-17 08:00:00,120.67861111111111,53.03516755730484,19.111944444444443,anemometry,12,3,9,1,11,1
2975,True,False,penmanshiel,7,2022-12-27 19:56:10,42.35,44.469037727660385,21.248055555555556,pitch,5,1,4,1,4,1
4095,True,False,penmanshiel,11,2017-06-10 12:29:21,27.15,42.390616208044676,28.72138888888889,control,2,1,1,2,0,0
2421,True,False,penmanshiel,5,2022-04-01 21:41:28,60.7225,31.759857239316904,64.75361111111111,anemometry,3,1,2,0,3,0
5279,True,False,penmanshiel,13,2021-01-23 19:35:12,39.23916666666667,22.093753142660812,69.96444444444444,anemometry,3,1,2,0,3,0
5326,True,False,penmanshiel,13,2022-11-09 22:54:12,12.507777777777777,21.71996270482991,13.095,pitch,4,1,3,0,4,0
4452,True,False,penmanshiel,11,2023-02-24 20:01:38,11.106111111111112,20.516581843730474,11.101944444444445,generator,2,1,1,0,2,1
3,True,False,kelmarsh,1,2016-04-25 16:24:06,24.137777777777778,19.049270022308427,37.73027777777778,brake_hydraulic,4,1,3,0,4,0
624,True,False,kelmarsh,4,2023-02-10 20:16:56,13.226944444444445,11.288738572093273,11.311111111111112,drivetrain,2,1,1,0,1,0
2833,True,False,penmanshiel,7,2017-04-26 12:55:17,26.0075,11.202791820225716,29.263055555555557,pitch,6,1,5,0,5,0
2724,True,False,penmanshiel,6,2023-05-05 15:16:33,65.03833333333333,9.406802664838928,6.6825,pitch,4,1,3,0,4,0
