variant_id,variant_type,n_slots_flipped,flips_applied,messages_flipped,n_events,E_mwh,unwarned_pct_E,short_lead_pct_E,actionable_unacted_pct_E,warned_pct_E,warned_n_events,warned_E_mwh,actionable_n_events,actionable_E_mwh,converter_n_events,converter_E_mwh,converter_same_warned_pct_E,converter_same_warned_n,big_event_bucket,big_event_same_warn,big_event_lead_h,big_event_same_n,delta_actionable_pp,rationale_quotes,is_frozen,is_adverse_joint,is_max_joint
frozen,frozen,0,,,4213,9386.501584975991,83.77688963408325,8.694940872061467,7.528169493855308,16.223110365916774,979,1522.7825116291824,698,706.6317488604076,977,1741.3485003248225,0.0,0,actionable_unacted,True,20.788888888888888,2,0.0,,True,False,False
cable_overload:converter->electrical,single_flip,1,cable_overload:converter->electrical,warning:Cable overload->electrical,4213,9386.501584975991,83.77688963408325,8.694940872061467,7.528169493855308,16.223110365916774,979,1522.7825116291824,698,706.6317488604076,977,1741.3485003248225,0.0,0,actionable_unacted,True,20.788888888888888,2,0.0,"[cable_overload] ""Code 3160 sits in the converter block (3151-3265); read as the converter output cabling. Alternative: electrical.""",False,False,False
high_yaw_load:yaw->external,single_flip,1,high_yaw_load:yaw->external,stop:High yaw load->external,4213,9386.501584975991,83.77688963408325,8.694940872061467,7.528169493855308,16.223110365916774,979,1522.7825116291824,698,706.6317488604076,977,1741.3485003248225,0.0,0,actionable_unacted,True,20.788888888888888,2,0.0,"[high_yaw_load] ""AMBIGUOUS: service category is 'External stop (climate) (6)', which would argue for `external`, but the message and code block (60xx) are yaw. Assigned to yaw; n=1 so the choice is immaterial. Alternative: external.""",False,False,False
high_yaw_load:yaw->external+cable_overload:converter->electrical,joint,2,high_yaw_load:yaw->external|cable_overload:converter->electrical,stop:High yaw load->external|warning:Cable overload->electrical,4213,9386.501584975991,83.77688963408325,8.694940872061467,7.528169493855308,16.223110365916774,979,1522.7825116291824,698,706.6317488604076,977,1741.3485003248225,0.0,0,actionable_unacted,True,20.788888888888888,2,0.0,,False,False,False
no_speed_development:control->pitch,single_flip,1,no_speed_development:control->pitch,stop:No speed development->pitch,4213,9386.501584975991,83.69189528117009,8.694940872061467,7.613163846768464,16.308104718829927,980,1530.7605079125155,699,714.6097451437411,977,1741.3485003248225,0.0,0,actionable_unacted,True,20.788888888888888,2,0.08499435291315649,"[no_speed_development] ""AMBIGUOUS: rotor fails to spin up on start; the physical cause could be pitch, brake or drivetrain. Assigned to `control` (start-up supervisor) precisely because it does not identify a component; n=4. Alternatives: pitch, brake_hydraulic.""",False,False,False
no_speed_development:control->pitch+cable_overload:converter->electrical,joint,2,no_speed_development:control->pitch|cable_overload:converter->electrical,stop:No speed development->pitch|warning:Cable overload->electrical,4213,9386.501584975991,83.69189528117009,8.694940872061467,7.613163846768464,16.308104718829927,980,1530.7605079125155,699,714.6097451437411,977,1741.3485003248225,0.0,0,actionable_unacted,True,20.788888888888888,2,0.08499435291315649,,False,False,False
no_speed_development:control->pitch+high_yaw_load:yaw->external,joint,2,no_speed_development:control->pitch|high_yaw_load:yaw->external,stop:No speed development->pitch|stop:High yaw load->external,4213,9386.501584975991,83.69189528117009,8.694940872061467,7.613163846768464,16.308104718829927,980,1530.7605079125155,699,714.6097451437411,977,1741.3485003248225,0.0,0,actionable_unacted,True,20.788888888888888,2,0.08499435291315649,,False,False,False
joint_3slots,joint,3,no_speed_development:control->pitch|high_yaw_load:yaw->external|cable_overload:converter->electrical,stop:No speed development->pitch|stop:High yaw load->external|warning:Cable overload->electrical,4213,9386.501584975991,83.69189528117009,8.694940872061467,7.613163846768464,16.308104718829927,980,1530.7605079125155,699,714.6097451437411,977,1741.3485003248225,0.0,0,actionable_unacted,True,20.788888888888888,2,0.08499435291315649,,False,False,False
no_speed_development:control->brake_hydraulic,single_flip,1,no_speed_development:control->brake_hydraulic,stop:No speed development->brake_hydraulic,4213,9386.501584975991,83.68721289725073,8.69646400371103,7.616323099038244,16.312787102749272,982,1531.2000199533195,700,714.9062884081172,977,1741.3485003248225,0.0,0,actionable_unacted,True,20.788888888888888,2,0.08815360518293591,"[no_speed_development] ""AMBIGUOUS: rotor fails to spin up on start; the physical cause could be pitch, brake or drivetrain. Assigned to `control` (start-up supervisor) precisely because it does not identify a component; n=4. Alternatives: pitch, brake_hydraulic.""",False,False,False
no_speed_development:control->brake_hydraulic+cable_overload:converter->electrical,joint,2,no_speed_development:control->brake_hydraulic|cable_overload:converter->electrical,stop:No speed development->brake_hydraulic|warning:Cable overload->electrical,4213,9386.501584975991,83.68721289725073,8.69646400371103,7.616323099038244,16.312787102749272,982,1531.2000199533195,700,714.9062884081172,977,1741.3485003248225,0.0,0,actionable_unacted,True,20.788888888888888,2,0.08815360518293591,,False,False,False
