table,event_id,farm,turbine_id,event_start,event_end,constituent_start,constituent_end,constituent_code,constituent_message,constituent_family,constituent_service_category,constituent_duration_h,constituent_E_mwh_separable,is_longest,T0,T1,T2,T1_wide_grid,T2_wide_grid,displayed_family,displayed_message,families_all,event_E_mwh,event_duration_h,E_unmerged_sum_mwh,E_double_counted_mwh,same_warned,same_lead_h,same_n_72h,any_warned,any_lead_h,any_n_72h,headline_class,note,alt_same_warned,alt_same_lead_h,alt_same_n_72h,alt_headline_class,scope,n_events,headline_pct_frozen,headline_pct_alt,shift_pp,n_same_warned_frozen,n_same_warned_alt,E_same_warned_frozen,E_same_warned_alt
constituent,1185.0,kelmarsh,6.0,2024-04-15 03:49:27,2024-04-23 18:39:22,2024-04-15 03:49:27,2024-04-15 08:00:00,550.0,Pitch current asymmetry,pitch,Pitch errors (18),4.175833333333333,7.157622154240166,False,True,True,True,True,True,pitch,Pitch current asymmetry,pitch,150.15274176037855,206.83194444444445,150.4974925666174,0.34475080623886356,False,,0.0,False,,0.0,unwarned,constituent lost energies are computed on the OVERLAPPING raw stop windows and are NOT additive; the event's E_mwh is the merged-window figure charged once,,,,,,,,,,,,,
constituent,1185.0,kelmarsh,6.0,2024-04-15 03:49:27,2024-04-23 18:39:22,2024-04-15 08:00:00,2024-04-16 08:00:00,550.0,Pitch current asymmetry,pitch,Pitch errors (18),24.0,36.353880339598064,False,True,True,True,True,True,pitch,Pitch current asymmetry,pitch,150.15274176037855,206.83194444444445,150.4974925666174,0.34475080623886356,False,,0.0,False,,0.0,unwarned,constituent lost energies are computed on the OVERLAPPING raw stop windows and are NOT additive; the event's E_mwh is the merged-window figure charged once,,,,,,,,,,,,,
constituent,1185.0,kelmarsh,6.0,2024-04-15 03:49:27,2024-04-23 18:39:22,2024-04-16 08:00:00,2024-04-23 18:39:22,550.0,Pitch current asymmetry,pitch,Pitch errors (18),178.6561111111111,106.98599007277919,True,True,True,True,True,True,pitch,Pitch current asymmetry,pitch,150.15274176037855,206.83194444444445,150.4974925666174,0.34475080623886356,False,,0.0,False,,0.0,unwarned,constituent lost energies are computed on the OVERLAPPING raw stop windows and are NOT additive; the event's E_mwh is the merged-window figure charged once,,,,,,,,,,,,,
constituent,4004.0,penmanshiel,10.0,2023-03-24 01:43:36,2023-05-24 09:13:50,2023-03-24 01:43:36,2023-05-22 11:37:53,3210.0,Frequency converter load rejection,converter,Generator and Converter errors (20),1425.9047222222223,494.721650065623,False,True,True,True,True,True,electrical,Circuit breaker,control|converter|electrical|manual,505.59119936371104,1471.503888888889,1010.9394067965034,505.3482074327923,False,,0.0,False,,0.0,unwarned,constituent lost energies are computed on the OVERLAPPING raw stop windows and are NOT additive; the event's E_mwh is the merged-window figure charged once,,,,,,,,,,,,,
constituent,4004.0,penmanshiel,10.0,2023-03-24 01:43:36,2023-05-24 09:13:50,2023-03-24 01:43:36,2023-05-24 08:55:13,3800.0,Circuit breaker,electrical,Electrical error (24),1471.193611111111,505.37287294222347,True,True,True,True,True,True,electrical,Circuit breaker,control|converter|electrical|manual,505.59119936371104,1471.503888888889,1010.9394067965034,505.3482074327923,False,,0.0,False,,0.0,unwarned,constituent lost energies are computed on the OVERLAPPING raw stop windows and are NOT additive; the event's E_mwh is the merged-window figure charged once,,,,,,,,,,,,,
constituent,4004.0,penmanshiel,10.0,2023-03-24 01:43:36,2023-05-24 09:13:50,2023-05-22 12:04:38,2023-05-22 14:05:55,455.0,Repeating error BP52,control,Repeated error  (25),2.0213888888888887,0.08946286879755401,False,True,True,True,True,True,electrical,Circuit breaker,control|converter|electrical|manual,505.59119936371104,1471.503888888889,1010.9394067965034,505.3482074327923,False,,0.0,False,,0.0,unwarned,constituent lost energies are computed on the OVERLAPPING raw stop windows and are NOT additive; the event's E_mwh is the merged-window figure charged once,,,,,,,,,,,,,
constituent,4004.0,penmanshiel,10.0,2023-03-24 01:43:36,2023-05-24 09:13:50,2023-05-22 12:06:47,2023-05-24 09:13:50,21.0,Manual stop - remote,manual,Remote stop (30),45.1175,10.755420919859386,False,True,True,True,True,True,electrical,Circuit breaker,control|converter|electrical|manual,505.59119936371104,1471.503888888889,1010.9394067965034,505.3482074327923,False,,0.0,False,,0.0,unwarned,constituent lost energies are computed on the OVERLAPPING raw stop windows and are NOT additive; the event's E_mwh is the merged-window figure charged once,,,,,,,,,,,,,
constituent,6025.0,penmanshiel,15.0,2024-04-17 08:00:00,2024-04-22 08:40:43,2024-04-17 08:00:00,2024-04-19 08:00:00,100.0,Safety chain open,safety,Safety chain (13),48.0,37.75189656782482,False,True,True,True,True,True,anemometry,Anemometer defect,anemometry|pitch|safety,53.03516755730484,120.67861111111111,83.2367290357688,30.201561478463965,True,19.111944444444443,11.0,True,19.113055555555555,17.0,actionable-unacted,constituent lost energies are computed on the OVERLAPPING raw stop windows and are NOT additive; the event's E_mwh is the merged-window figure charged once,,,,,,,,,,,,,
constituent,6025.0,penmanshiel,15.0,2024-04-17 08:00:00,2024-04-22 08:40:43,2024-04-19 08:00:00,2024-04-21 14:04:12,100.0,Safety chain open,safety,Safety chain (13),54.07,14.971720945451686,False,True,True,True,True,True,anemometry,Anemometer defect,anemometry|pitch|safety,53.03516755730484,120.67861111111111,83.2367290357688,30.201561478463965,True,19.111944444444443,11.0,True,19.113055555555555,17.0,actionable-unacted,constituent lost energies are computed on the OVERLAPPING raw stop windows and are NOT additive; the event's E_mwh is the merged-window figure charged once,,,,,,,,,,,,,
constituent,6025.0,penmanshiel,15.0,2024-04-17 08:00:00,2024-04-22 08:40:43,2024-04-19 08:00:00,2024-04-21 14:20:35,630.0,Overload fan pitch motor,pitch,Pitch errors (18),54.34305555555556,14.971720945451686,False,True,True,True,True,True,anemometry,Anemometer defect,anemometry|pitch|safety,53.03516755730484,120.67861111111111,83.2367290357688,30.201561478463965,True,19.111944444444443,11.0,True,19.113055555555555,17.0,actionable-unacted,constituent lost energies are computed on the OVERLAPPING raw stop windows and are NOT additive; the event's E_mwh is the merged-window figure charged once,,,,,,,,,,,,,
constituent,6025.0,penmanshiel,15.0,2024-04-17 08:00:00,2024-04-22 08:40:43,2024-04-19 08:00:00,2024-04-22 08:40:43,6530.0,Anemometer defect,anemometry,Sensor error (21),72.67861111111111,15.541390577040605,True,True,True,True,True,True,anemometry,Anemometer defect,anemometry|pitch|safety,53.03516755730484,120.67861111111111,83.2367290357688,30.201561478463965,True,19.111944444444443,11.0,True,19.113055555555555,17.0,actionable-unacted,constituent lost energies are computed on the OVERLAPPING raw stop windows and are NOT additive; the event's E_mwh is the merged-window figure charged once,,,,,,,,,,,,,
alternative_rule,1185.0,kelmarsh,6.0,2024-04-15 03:49:27,2024-04-23 18:39:22,,,,,,,,,,,,,,,pitch,Pitch current asymmetry,pitch,150.15274176037855,206.83194444444445,,,False,,0.0,,,,unwarned,"frozen union rule vs displayed-family-only rule, same matcher",False,,0.0,unwarned,,,,,,,,,
alternative_rule,4004.0,penmanshiel,10.0,2023-03-24 01:43:36,2023-05-24 09:13:50,,,,,,,,,,,,,,,electrical,Circuit breaker,control|converter|electrical|manual,505.59119936371104,1471.503888888889,,,False,,0.0,,,,unwarned,"frozen union rule vs displayed-family-only rule, same matcher",False,,0.0,unwarned,,,,,,,,,
alternative_rule,6025.0,penmanshiel,15.0,2024-04-17 08:00:00,2024-04-22 08:40:43,,,,,,,,,,,,,,,anemometry,Anemometer defect,anemometry|pitch|safety,53.03516755730484,120.67861111111111,,,True,19.111944444444443,11.0,,,,actionable-unacted,"frozen union rule vs displayed-family-only rule, same matcher",True,19.11138888888889,3.0,actionable-unacted,,,,,,,,,
headline,,,,,,,,,,,,,,,,,,,,,,,9386.501584975991,,,,,,,,,,,alternative rule applied to the 3 multi-constituent events only; every other event's frozen flags unchanged; denominator unchanged,,,,,all_T2_wide_grid,4213.0,7.528169493855308,7.528169493855308,0.0,979.0,979.0,1522.7825116291824,1522.7825116291824
provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-27 02:48:52,,,,,mtime build_events.py,,,,,,,,
provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-27 02:38:52,,,,,mtime common.py,,,,,,,,
provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-27 02:54:23,,,,,mtime attribute.py,,,,,,,,
provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-28 00:10:07 -0700 610a04b2f553c769c27e5ce0458a9f6196373806,,,,,git build_events.py,,,,,,,,
provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-06 14:25:06,,,,,mtime analysis/RESULTS.md,,,,,,,,
provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-27 03:10:32,,,,,mtime analysis/bootstrap.csv,,,,,,,,
provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-27 03:10:00,,,,,mtime analysis/attribution_summary.csv,,,,,,,,
