event_id,farm,turbine,start,end,duration_h,n_bin_starts_in_window,lost_energy_mwh,reason
6,kelmarsh,K01,2016-09-10 16:51:50,2016-09-10 17:09:31,0.294722,1,0.0,potential_never_exceeds_measured
7,kelmarsh,K01,2016-09-18 10:35:15,2016-09-18 10:47:06,0.1975,1,0.0,potential_never_exceeds_measured
9,kelmarsh,K01,2016-10-29 07:13:14,2016-10-29 11:53:16,4.667222,28,0.0,potential_never_exceeds_measured
12,kelmarsh,K01,2016-11-23 01:59:52,2016-11-23 02:13:23,0.225278,2,0.0,potential_never_exceeds_measured
14,kelmarsh,K01,2016-12-10 16:25:56,2016-12-10 16:49:52,0.398889,2,0.0,potential_never_exceeds_measured
20,kelmarsh,K01,2017-01-16 12:04:51,2017-01-16 12:06:40,0.030278,0,0.0,no_bin_start
21,kelmarsh,K01,2017-01-16 12:07:43,2017-01-16 12:08:09,0.007222,0,0.0,no_bin_start
22,kelmarsh,K01,2017-01-16 12:09:45,2017-01-16 12:09:58,0.003611,0,0.0,no_bin_start
23,kelmarsh,K01,2017-01-18 18:39:04,2017-01-18 19:03:03,0.399722,3,0.0,potential_never_exceeds_measured
24,kelmarsh,K01,2017-01-18 22:46:02,2017-01-18 22:55:35,0.159167,1,0.0,potential_never_exceeds_measured
26,kelmarsh,K01,2017-01-19 10:44:47,2017-01-19 11:09:38,0.414167,2,0.0,potential_never_exceeds_measured
28,kelmarsh,K01,2017-01-25 20:55:01,2017-01-25 20:57:01,0.033333,0,0.0,no_bin_start
30,kelmarsh,K01,2017-01-25 21:03:11,2017-01-25 21:08:41,0.091667,0,0.0,no_bin_start
38,kelmarsh,K01,2017-08-19 03:01:34,2017-08-19 03:07:22,0.096667,0,0.0,no_bin_start
44,kelmarsh,K01,2018-02-06 00:03:31,2018-02-06 00:31:16,0.4625,3,0.0,potential_never_exceeds_measured
47,kelmarsh,K01,2018-11-02 16:34:47,2018-11-02 16:36:47,0.033333,0,0.0,no_bin_start
49,kelmarsh,K01,2018-11-02 16:42:47,2018-11-02 16:44:47,0.033333,0,0.0,no_bin_start
52,kelmarsh,K01,2019-02-24 02:31:49,2019-02-24 02:39:36,0.129722,0,0.0,no_bin_start
61,kelmarsh,K01,2019-11-05 15:54:41,2019-11-05 15:56:41,0.033333,0,0.0,no_bin_start
63,kelmarsh,K01,2019-11-05 16:02:41,2019-11-05 16:04:41,0.033333,0,0.0,no_bin_start
78,kelmarsh,K01,2020-08-22 09:01:05,2020-08-22 09:06:51,0.096111,0,0.0,no_bin_start
80,kelmarsh,K01,2020-08-25 15:02:58,2020-08-25 15:05:19,0.039167,0,0.0,no_bin_start
84,kelmarsh,K01,2020-09-22 14:26:23,2020-09-22 14:28:23,0.033333,0,0.0,no_bin_start
85,kelmarsh,K01,2020-09-22 14:30:48,2020-09-22 14:32:48,0.033333,0,0.0,no_bin_start
86,kelmarsh,K01,2020-09-22 14:34:48,2020-09-22 14:36:48,0.033333,0,0.0,no_bin_start
88,kelmarsh,K01,2021-02-02 16:04:11,2021-02-02 16:06:10,0.033056,0,0.0,no_bin_start
90,kelmarsh,K01,2021-02-02 16:12:16,2021-02-02 16:14:16,0.033333,0,0.0,no_bin_start
93,kelmarsh,K01,2021-06-30 22:19:25,2021-06-30 22:20:14,0.013611,1,0.0,potential_never_exceeds_measured
95,kelmarsh,K01,2021-08-12 12:44:59,2021-08-12 12:46:59,0.033333,0,0.0,no_bin_start
97,kelmarsh,K01,2021-08-12 12:53:15,2021-08-12 12:55:15,0.033333,0,0.0,no_bin_start
100,kelmarsh,K01,2021-12-06 02:45:52,2021-12-06 02:47:45,0.031389,0,0.0,no_bin_start
101,kelmarsh,K01,2021-12-06 03:00:57,2021-12-06 03:02:37,0.027778,0,0.0,no_bin_start
102,kelmarsh,K01,2021-12-06 03:04:24,2021-12-06 03:08:11,0.063056,0,0.0,no_bin_start
103,kelmarsh,K01,2021-12-06 03:13:56,2021-12-06 03:34:32,0.343333,2,0.0,potential_never_exceeds_measured
