code,n_rows_total,n_turbines_seen,first_seen,last_seen,years_seen,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,median_duration_s,share_rows_with_TimeOff,is_documented,description,stopping
2,4664,21,2016-01-04 10:50:27,2026-04-28 08:35:43,2016-2026,648,521,745,289,343,359,632,313,442,309,63,,0.0,0,,
3,236,21,2016-02-16 14:55:32,2024-11-07 16:27:49,2016;2017;2018;2019;2021;2022;2024,68,6,46,26,0,3,40,0,47,0,0,,0.0,0,,
7,4663,21,2016-01-04 10:50:28,2026-04-28 08:35:43,2016-2026,648,521,745,289,343,358,632,313,442,309,63,,0.0,0,,
8,4592,21,2016-01-04 10:51:06,2026-04-28 08:36:26,2016-2026,645,512,734,288,325,353,629,301,440,302,63,,0.0,0,,
9,2567,21,2016-01-04 10:17:58,2026-04-23 09:07:20,2016-2026,348,355,383,132,189,205,303,192,237,189,34,,0.0,0,,
12,3,3,2018-02-02 14:56:51,2021-08-05 07:33:49,2018;2021,0,0,2,0,0,1,0,0,0,0,0,,0.0,0,,
13,2343,21,2016-01-01 07:05:20,2026-04-22 11:08:35,2016-2026,348,472,318,165,131,201,138,173,186,170,41,,0.0,0,,
14,2069,21,2016-01-01 07:08:14,2026-04-22 11:12:23,2016-2026,329,429,264,143,108,184,117,153,166,141,35,,0.0,0,,
15,8733,21,2016-01-04 11:02:05,2026-04-22 11:12:23,2016;2017;2018;2022;2023;2024;2025;2026,12,2,18,0,0,0,1499,2159,1989,2366,688,,0.0,0,,
16,8733,21,2016-01-04 11:02:06,2026-04-22 11:12:23,2016;2017;2018;2022;2023;2024;2025;2026,12,2,18,0,0,0,1499,2159,1989,2366,688,,0.0,0,,
17,4,3,2018-08-04 07:03:55,2024-09-30 14:18:32,2018;2023;2024,0,0,1,0,0,0,0,1,2,0,0,,0.0,0,,
18,4656,21,2016-01-04 10:50:37,2026-04-28 08:35:54,2016-2026,648,521,745,288,342,357,632,313,441,306,63,,0.0,0,,
19,102,21,2016-02-16 14:55:25,2025-03-31 07:30:55,2016;2017;2018;2019;2021;2022;2024;2025,30,3,24,1,0,1,20,0,22,1,0,,0.0,0,,
20,2505325,21,2016-01-01 06:30:57,2026-04-30 23:54:11,2016-2026,427896,199096,314821,297890,304476,331825,134517,144006,134892,170303,45603,,0.0,1,Large generator Cut-in,0
25,2505314,21,2016-01-01 06:30:19,2026-04-30 23:59:59,2016-2026,427895,199096,314821,297893,304472,331821,134514,144002,134891,170304,45605,,0.0,1,Fast cut-out of generator,0
27,22865,21,2016-01-01 07:06:06,2026-04-30 12:25:17,2016-2026,2561,2392,2381,1876,2108,2293,3028,2128,1799,1716,583,,0.0,0,,
28,478,21,2016-03-01 11:07:01,2025-08-26 13:20:03,2016-2025,71,37,27,46,32,23,25,67,54,96,0,,0.0,0,,
29,6691,21,2016-01-10 16:46:26,2026-04-30 20:19:30,2016-2026,646,403,749,703,837,634,618,805,583,621,92,,0.0,0,,
30,1845,21,2016-01-29 03:20:51,2025-10-03 23:58:10,2016;2017;2018;2019;2021;2022;2023;2024;2025,638,222,424,166,0,51,61,58,51,174,0,,0.0,0,,
40,450,21,2016-03-01 12:43:21,2026-04-28 12:41:03,2016-2026,26,36,51,41,41,25,46,56,51,74,3,,0.0,0,,
48,5061,21,2016-01-01 06:00:07,2026-04-29 06:00:09,2016-2026,529,427,459,483,421,644,500,516,547,455,80,,0.0,0,,
